roll_no,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,last_sync_time
S107566,56.07,3.23,2.71,9.55,2024-03-04
S107567,73.29,3.79,,20.64,02-13-2024
S107568,92.0%,3.11,2.23,15.11,05-13-2024
S107569,74.82,3.31,1.38,15.45,2024-03-27
S107570,62.58,0.66,1.12,14.97,03-22-2024
S107571,72.26,3.81,4.84,7.68,2024-03-27
S107572,86.26,2.92,0.94,9.28,2024-03-01
S107573,75.4,3.58,5.82,3.93,2024-04-13
S107574,50.39,2.9,1.68,22.97,11/04/2024
S107575,83.84,2.95,3.55,15.01,2024/03/14 22:03:44
S107576,87.97,2.02,0.34,21.96,02-05-2024
S107577,70.83,2.44,2.39,11.85,2024-03-22
S107578,77.6%,3.4,0.36,23.04,2024-03-16
S107579,63.67,5.7,1.27,3.68,04-11-2024
S107580,62.97,4.16,1.12,21.8,10/01/2024
S107581,1.0,4.6,3.34,14.45,2024-03-02
S107582,90.12,3.77,2.3,5.3,2024-04-15
S107583,89.57,2.89,1.95,0.0,2024/03/08 02:38:20
S107584,86.75,2.0,0.31,18.51,2024-04-29
S107585,70.77,5.4,8.0,21.93,2024-01-31
S107586,70.88,2.45,0.42,15.43,24/05/2024
S107587,84.71,3.12,0.63,19.22,03-11-2024
S107588,71.38,0.0,0.69,18.12,2024-02-13
S107589,78.98,2.28,2.25,15.39,2024-03-27
S107590,0.6284,0.16,1.96,21.71,05-03-2024
S107591,89.8%,3.22,1.49,4.66,2024-05-14
S107592,95.82,5.36,0.24,15.69,01-27-2024
S107593,66%,6.15,0.05,19.78,2024-04-18
S107594,78.2%,2.36,0.71,11.88,2024-04-13
S107595,87.34,4.47,3.37,16.79,03-28-2024
S107596,73.3,0.85,5.52,6.76,2024-03-10
S107597,67.29,0.51,0.7,15.53,2024-02-11
S107598,74%,0.0,0.74,9.95,03/04/2024
S107599,55.02,2.11,0.2,11.38,2024-01-18
S107600,85.6,3.57,1.79,19.0,2024-03-09
S107601,82.54,6.77,0.72,2.67,24/02/2024
S107602,87.41,2.75,2.74,7.36,15/05/2024
S107603,74.5%,2.78,0.27,20.07,03-31-2024
S107604,92.8%,4.2,0.53,13.9,2024-04-03
S107605,68.14,3.87,0.01,9.86,2024-04-13
S107606,76.38,1.0,3.5,18.15,06/02/2024
S107607,0.6111,3.49,1.75,7.25,2024-05-01
S107608,52.82,3.79,2.97,7.02,23/03/2024
S107609,96.34,2.21,1.8,13.54,2024-03-10
S107610,87.12,3.77,0.44,14.03,2024-05-04
S107611,82.62,4.79,2.02,9.8,2024-01-31
S107612,78%,1.6,0.23,13.15,2024-02-14
S107613,50.83,0.0,0.92,24.33,2024-04-09
S107614,59.5%,3.36,5.0,14.75,13/04/2024
S107615,83%,0.0,0.16,6.95,2024-04-16
S107616,79.4,2.34,0.01,15.17,19/01/2024
S107617,74.13,2.0,2.45,0.16,2024-04-09
S107618,82.42,2.08,0.82,26.28,2024-01-16
S107619,83.96,6.7,0.72,6.69,04/03/2024
S107620,72.15,4.05,0.27,16.44,2024-05-10
S107621,96%,2.39,2.99,16.14,08/04/2024
S107622,89.47,5.78,0.91,9.53,2024/03/28 19:18:48
S107623,64.3%,3.19,1.5,24.1,2024-04-08
S107624,92.26,3.12,0.9,29.4,2024-05-27
S107625,83%,2.63,2.27,9.76,2024-01-27
S107626,68.98,3.61,0.62,19.98,01-21-2024
S107627,75.23,3.1,1.91,8.09,12/05/2024
S107628,72.53,3.91,0.88,24.25,26/05/2024
S107629,0.8347,0.63,0.64,23.85,03/04/2024
S107630,76.31,3.33,1.25,22.07,01-26-2024
S107631,0.7584,4.96,2.04,3.4,2024-04-18
S107632,72.3%,3.69,0.67,11.2,2024-02-04
S107633,50.4%,2.35,0.17,11.3,01-16-2024
S107634,72.56,2.34,1.48,10.83,02/03/2024
S107635,62.57,2.48,4.0,24.3,2024-02-11
S107636,63.61,3.31,0.15,2.32,05-07-2024
S107637,84%,5.19,2.01,17.73,2024-02-02
S107638,60.17,0.74,0.44,20.21,2024-05-28
S107639,57.16,3.68,3.61,10.08,2024-04-17
S107640,91.67,1.85,3.86,18.53,04-06-2024
S107641,72.31,0.65,4.7,18.09,2024-03-02
S107642,100.0,3.25,1.1,13.1,2024/01/16 05:11:55
S107643,79.6,1.57,0.07,22.61,2024-03-20
S107644,58.41,3.7,1.38,11.2,28/04/2024
S107645,81.4%,2.65,1.33,22.62,2024-05-16
S107646,87.95,1.96,0.63,15.92,2024-05-10
S107647,81.4,0.96,0.5,12.82,2024-04-24
S107648,78.31,1.83,,13.43,01-29-2024
S107649,49.83,2.04,1.37,5.28,2024-05-18
S107650,66.0%,2.49,0.48,12.47,19/02/2024
S107651,91.99,2.24,0.99,7.14,03-25-2024
S107652,83%,4.19,1.53,16.85,2024-05-07
S107653,76.59,3.34,1.32,21.3,2024-03-09
S107654,74.82,3.74,0.35,18.2,2024-03-22
S107655,77.65,4.67,0.5,10.01,2024-05-04
S107656,95.6,1.69,2.29,13.14,08/02/2024
S107657,48.94,2.85,0.85,16.94,2024-04-23
S107658,0.533,4.35,8.0,17.31,2024-02-03
S107659,54.77,1.16,0.31,26.46,2024-02-12
S107660,69%,0.81,0.35,19.36,2024-03-05
S107661,84.63,4.2,0.01,16.04,2024-01-25
S107662,71.41,3.6,1.39,15.73,2024-03-14
S107663,67.17,0.92,0.82,12.56,2024-02-26
S107664,79%,0.38,1.08,15.0,2024-05-11
S107665,81.8%,2.7,0.39,20.02,30/01/2024
S107666,0.6515,2.24,3.84,10.05,02/04/2024
S107667,78%,1.89,0.69,17.87,08/03/2024
S107668,77.75,0.08,1.29,14.24,02-28-2024
S107669,89.17,3.51,0.42,27.02,06/02/2024
S107670,100.0,0.68,1.44,17.07,2024-05-08
S107671,89.07,5.25,5.77,17.29,2024-05-14
S107672,72%,2.56,0.12,9.01,2024-04-24
S107673,48.07,2.15,5.09,25.25,27/01/2024
S107674,70.21,2.82,2.54,18.55,05-08-2024
S107675,78.13,3.98,2.11,24.55,2024-04-27
S107676,68.46,1.95,2.88,13.71,2024-04-09
S107677,84.65,0.55,0.54,14.99,2024-04-26
S107678,0.7018,2.68,2.78,5.41,2024-04-12
S107679,73.98,3.55,1.18,27.91,2024-03-22
S107680,79.32,3.29,1.26,17.59,2024-03-16
S107681,47.82,5.78,0.22,27.99,04-25-2024
S107682,100.0,4.01,1.02,12.56,03-09-2024
S107683,83.03,2.16,0.22,18.3,2024-03-08
S107684,70.08,3.83,0.17,21.95,2024-05-16
S107685,77.16,1.5,0.68,17.31,2024/05/19 03:03:45
S107686,0.8897,6.57,1.16,12.67,03/03/2024
S107687,0.7392,2.02,0.49,11.68,04-06-2024
S107688,73.72,1.45,1.62,12.57,2024-01-24
S107689,78.5,1.58,1.39,33.69,2024-03-11
S107690,49.49,3.01,1.81,10.65,09/03/2024
S107691,76.78,3.52,2.6,1.1,2024/01/12 06:36:58
S107692,97.85,4.27,2.54,15.26,2024-04-20
S107693,76.96,5.95,1.64,15.17,18/01/2024
S107694,73%,2.07,7.83,12.8,2024-05-03
S107695,78.5%,3.46,0.4,10.65,2024-04-19
S107696,60.86,1.81,3.53,13.08,2024-04-02
S107697,100.0,2.8,0.79,5.76,2024-05-13
S107698,92.21,2.11,2.04,27.45,2024-02-09
S107699,80.11,3.79,1.34,16.72,2024-02-09
S107700,74.48,0.0,5.08,15.83,28/02/2024
S107701,76.83,4.17,2.89,22.36,07/05/2024
S107702,0.7553,3.72,3.0,33.97,2024-02-25
S107703,76.32,4.31,1.0,12.19,02-26-2024
S107704,64.8,4.5,1.21,17.15,2024-05-16
S107705,69.89,1.48,1.1,20.61,03/04/2024
S107706,51.11,3.31,1.0,19.84,2024-02-12
S107707,91.94,1.62,0.17,21.33,02-01-2024
S107708,0.7237,5.15,1.74,21.42,2024-05-28
S107709,52.96,3.25,1.86,12.12,2024-05-13
S107710,85.21,0.95,0.42,23.37,2024-05-27
S107711,53.55,3.7,2.03,14.22,2024-05-18
S107712,63.26,5.2,3.93,16.97,2024-01-12
S107713,75.66,2.88,4.0,19.3,2024-03-09
S107714,70.85,4.4,7.38,10.02,2024-03-11
S107715,0.7899,2.32,0.5,18.04,2024-04-19
S107716,81.91,1.81,5.59,19.34,2024-02-11
S107717,95.74,2.11,0.36,1.75,2024-02-02
S107718,67%,2.02,0.42,24.81,04-24-2024
S107719,73.22,3.59,1.06,9.27,2024-02-29
S107720,90.51,3.03,0.35,16.91,2024-05-02
S107721,75.05,0.96,0.6,25.7,2024-05-28
S107722,69.82,0.54,2.83,19.58,2024-03-04
S107723,67.85,5.04,0.84,22.28,2024-04-16
S107724,84.52,1.47,1.65,22.77,2024-04-02
S107725,57.27,2.47,0.9,11.55,2024-04-25
S107726,70.48,5.86,0.39,7.74,05-26-2024
S107727,78.58,4.11,1.68,17.91,2024-02-20
S107728,65.79,6.09,1.51,19.99,2024-02-17
S107729,70.1,4.87,0.43,22.73,17/05/2024
S107730,70.09,3.53,1.17,20.47,05-20-2024
S107731,87.3%,4.93,6.18,11.56,05-01-2024
S107732,61.07,2.17,1.07,21.16,2024-01-10
S107733,78.85,2.82,0.34,0.29,02-20-2024
S107734,0.6552,2.78,0.34,23.91,2024-03-31
S107735,84.39,2.95,0.88,8.77,04-14-2024
S107736,70.2%,4.92,3.98,8.63,2024-03-20
S107737,59.22,4.33,1.03,32.42,2024-05-12
S107738,86.31,4.02,1.79,15.4,2024-05-03
S107739,46.56,3.4,2.6,13.21,2024-04-18
S107740,66.75,2.92,,6.93,03-06-2024
S107741,82.78,3.37,5.01,18.1,2024-01-22
S107742,65.82,2.3,3.79,20.55,2024-03-07
S107743,73.03,5.05,1.44,12.54,2024-03-25
S107744,86.66,2.81,0.59,0.0,2024-05-20
S107745,68.49,3.79,0.51,26.39,2024-04-10
S107746,78.4,3.73,1.05,12.98,2024-03-21
S107747,86.48,2.62,0.33,12.82,2024/01/18 10:52:21
S107748,64.5,3.78,0.75,14.75,2024-02-23
S107749,80.74,3.76,2.29,9.36,24/01/2024
S107750,66.04,2.93,0.65,23.92,2024-01-12
S107751,56.99,2.97,2.53,20.09,2024-05-17
S107752,54.71,1.24,0.34,18.41,2024-02-16
S107753,54.7,2.52,0.13,31.18,02-29-2024
S107754,76.38,4.37,2.9,10.12,2024-02-09
S107755,65.8%,5.07,6.79,23.94,2024-03-14
S107756,66.51,4.96,1.68,0.0,16/02/2024
S107757,80.5,3.96,2.26,19.51,02-23-2024
S107758,67.3%,1.47,5.65,30.81,2024-04-28
S107759,64.26,4.98,0.44,7.65,2024-02-27
S107760,87.13,6.54,3.87,26.51,2024-02-04
S107761,66.6%,0.62,3.68,5.32,2024-05-19
S107762,71.24,0.91,1.26,29.55,10/01/2024
S107763,62.14,4.83,0.43,11.78,18/05/2024
S107764,72.82,0.35,2.64,9.82,2024-04-25
S107765,75.44,1.45,3.09,11.25,10/04/2024
S107766,65.38,1.58,4.08,15.22,2024-04-29
S107767,74.52,2.62,0.94,13.94,2024-02-13
S107768,78.25,2.37,2.79,14.63,2024-04-26
S107769,74.1,2.52,2.67,17.21,2024-03-19
S107770,58%,4.58,0.38,16.68,2024-02-12
S107771,79.49,3.96,1.78,15.04,16/04/2024
S107772,80.71,4.24,1.61,11.9,13/01/2024
S107773,92.95,2.75,2.55,18.0,2024-03-02
S107774,81%,1.92,1.5,17.63,2024-01-20
S107775,61%,1.82,1.91,17.3,2024-01-13
S107776,80.41,3.85,0.05,14.99,2024-05-07
S107777,78.63,0.7,,10.15,2024-04-14
S107778,0.744,1.8,0.51,15.52,2024-04-01
S107779,73%,2.78,0.5,13.06,2024-03-05
S107780,63.67,0.0,2.47,0.54,2024-05-25
S107781,68.69,3.9,3.03,22.0,2024-01-15
S107782,87.96,4.08,2.64,16.82,2024/01/22 15:41:44
S107783,73.36,3.88,0.89,14.86,01/02/2024
S107784,87.27,1.35,0.87,18.67,29/04/2024
S107785,50.07,3.74,1.71,9.72,2024-04-27
S107786,79.53,4.17,0.67,24.52,2024-02-17
S107787,55%,2.94,2.61,23.45,02-18-2024
S107788,65.06,4.29,0.48,6.87,2024-03-18
S107789,49.85,3.38,8.0,10.57,2024-03-19
S107790,82.06,2.49,0.15,19.73,2024-04-06
S107791,0.6421,3.12,0.72,16.73,21/03/2024
S107792,45.28,0.6,0.38,14.88,2024-05-10
S107793,91.3%,5.01,0.6,18.08,05-15-2024
S107794,85.86,3.49,0.45,1.9,2024-04-26
S107795,0.998,4.54,1.46,8.55,2024-03-25
S107796,80.03,3.49,1.26,10.79,2024/04/03 04:24:36
S107797,0.9146,3.01,1.18,20.34,2024-04-07
S107798,74.37,0.71,2.09,0.0,2024-02-02
S107799,76.34,2.92,0.58,16.27,2024-02-13
S107800,89.37,3.2,0.83,12.36,2024-01-12
S107801,73.41,6.14,0.88,19.56,2024-03-11
S107802,58.62,0.0,,20.66,2024-03-27
S107803,82%,0.94,1.09,26.89,2024/03/13 03:55:18
S107804,74.34,5.0,0.86,6.78,2024-05-24
S107805,84.84,4.78,0.24,9.25,01-19-2024
S107806,83%,4.05,0.55,15.34,21/01/2024
S107807,78.23,3.62,0.27,24.87,26/04/2024
S107808,75.2,1.4,0.39,18.06,14/02/2024
S107809,49.98,2.76,2.97,15.74,2024-04-30
S107810,79.37,4.36,0.7,23.57,2024-04-03
S107811,69%,6.32,3.96,12.22,2024-04-11
S107812,85.21,3.08,1.06,23.19,2024-02-18
S107813,56.6,2.7,1.49,27.15,2024-05-12
S107814,85.21,2.92,1.22,13.93,01/05/2024
S107815,65.7,1.86,0.46,4.15,2024-01-10
S107816,95.2%,3.39,4.89,16.02,13/01/2024
S107817,89.34,2.78,2.71,26.51,2024-01-15
S107818,0.8814,4.57,2.48,18.45,2024-02-14
S107819,96%,0.83,3.44,5.37,20/04/2024
S107820,64.4,2.26,0.92,23.89,2024-05-21
S107821,74.16,4.54,2.38,20.57,21/03/2024
S107822,69.46,5.08,0.11,22.0,2024-03-17
S107823,0.9031,3.14,0.84,22.93,27/01/2024
S107824,69.44,0.0,0.35,11.2,2024-01-27
S107825,74.27,1.91,0.08,22.41,26/05/2024
S107826,81.32,2.04,0.94,10.48,2024-02-07
S107827,79.76,2.51,0.1,6.73,05-02-2024
S107828,73.3%,2.09,8.0,9.2,10/05/2024
S107829,74.43,3.84,3.78,19.85,15/01/2024
S107830,60.62,3.49,3.08,12.14,2024-04-23
S107831,87.08,3.07,0.13,25.33,12/02/2024
S107832,0.6636,2.38,1.67,22.8,15/04/2024
S107833,67.87,5.94,0.72,19.72,2024-02-13
S107834,76.36,4.84,5.0,24.66,2024-01-13
S107835,79.48,0.63,2.25,6.77,2024-03-31
S107836,60.45,1.6,1.18,21.7,2024-03-09
S107837,64.29,2.45,2.98,19.02,12/04/2024
S107838,87.2%,1.62,0.39,6.09,22/01/2024
S107839,77.79,4.21,0.6,9.96,2024-03-03
S107840,82.08,1.49,1.58,13.89,2024-03-19
S107841,79.57,4.9,0.72,13.69,2024-02-26
S107842,82.52,2.19,1.25,14.71,2024-05-29
S107843,78.13,2.18,0.13,10.66,2024-03-28
S107844,70.28,1.95,0.74,25.35,2024-02-01
S107845,98.36,1.39,8.0,6.36,07/02/2024
S107846,91.6,3.96,2.05,6.57,2024-02-06
S107847,83.19,3.83,1.72,8.4,2024/05/21 18:50:20
S107848,55.58,0.32,0.47,10.55,05/02/2024
S107849,83.8,0.52,1.32,10.01,2024-04-01
S107850,67%,2.68,0.37,26.76,15/02/2024
S107851,78.6%,2.52,0.76,10.39,2024-04-13
S107852,75.5%,0.43,3.54,14.15,2024/04/05 04:44:45
S107853,64.42,4.93,0.22,6.16,09/03/2024
S107854,68.31,4.2,1.62,11.72,2024-04-20
S107855,56.14,2.84,0.47,19.21,2024-01-15
S107856,93.42,0.23,0.83,19.76,01-24-2024
S107857,61%,3.05,0.57,21.89,02/03/2024
S107858,77.94,1.81,1.42,8.02,2024-05-10
S107859,76.25,3.94,0.38,10.29,2024-04-07
S107860,85.13,2.54,1.19,20.72,03-09-2024
S107861,100%,3.02,0.56,14.83,04-25-2024
S107862,68.87,1.16,1.63,14.58,05-06-2024
S107863,75.8%,4.1,0.41,19.13,03-14-2024
S107864,89.01,3.71,0.4,21.98,2024-02-09
S107865,63.5%,3.26,4.4,10.11,01-26-2024
S107866,100%,3.36,0.26,14.27,2024-02-16
S107867,53.56,5.01,1.13,14.16,20/03/2024
S107868,59.87,2.4,3.53,8.22,2024-03-30
S107869,86.7%,2.65,2.19,17.1,30/01/2024
S107870,60.78,0.13,0.48,11.23,2024-03-17
S107871,47.16,4.44,0.05,14.96,01-24-2024
S107872,77.05,2.7,0.47,19.55,2024-02-23
S107873,89.38,4.29,1.76,16.88,03-09-2024
S107874,56.39,1.8,3.42,8.79,2024-03-08
S107875,86.39,3.52,1.88,16.43,2024-03-17
S107876,84%,4.13,0.27,15.97,22/04/2024
S107877,90.4,2.41,0.98,11.07,10/01/2024
S107878,72.4%,2.06,2.06,8.96,2024/03/07 15:09:06
S107879,51%,0.39,5.2,16.08,2024-01-24
S107880,70.69,2.27,4.2,5.22,2024-03-09
S107881,67%,6.66,0.64,7.52,2024/05/06 09:05:56
S107882,64.12,6.71,1.74,6.02,02-28-2024
S107883,56.17,4.08,0.01,6.52,2024-04-22
S107884,70.95,3.26,1.75,11.65,2024-01-31
S107885,60.93,5.74,0.63,22.43,16/01/2024
S107886,96.5%,5.06,0.61,19.33,01-24-2024
S107887,100.0,4.31,2.41,22.86,2024-04-07
S107888,53.28,4.4,3.19,10.72,07/05/2024
S107889,57.2,3.95,0.39,0.92,2024-05-27
S107890,67.88,4.67,0.69,10.82,2024-01-26
S107891,66.77,3.14,1.72,22.89,2024-05-05
S107892,87.95,4.8,3.88,12.25,2024-05-24
S107893,85.09,2.36,0.12,14.85,2024-03-13
S107894,68.12,4.23,0.78,13.5,2024-04-18
S107895,48.76,3.08,1.95,19.88,2024/03/17 02:54:26
S107896,64.5%,1.93,0.21,20.81,2024-02-13
S107897,63.35,2.03,1.69,4.16,2024-03-01
S107898,0.4188,4.69,0.32,0.0,2024-05-22
S107899,64.5%,5.42,3.32,19.58,07/05/2024
S107900,50.62,4.88,1.43,13.51,13/03/2024
S107901,57.55,1.31,0.03,19.59,2024-03-05
S107902,75.83,1.37,1.89,13.04,2024-05-26
S107903,98.9,2.86,0.58,18.65,2024-01-18
S107904,79.88,4.56,0.64,14.05,03/04/2024
S107905,72%,3.93,0.01,9.96,2024-02-28
S107906,64%,2.82,0.75,12.22,2024-02-20
S107907,0.9441,1.95,1.82,13.82,2024-03-10
S107908,80.38,5.06,0.22,19.28,2024-03-21
S107909,63.11,1.18,3.05,13.8,01/03/2024
S107910,55.08,1.04,0.83,7.5,2024-05-17
S107911,73.34,2.52,0.31,26.65,2024/03/08 14:07:47
S107912,61.5%,3.33,5.73,17.18,2024-02-22
S107913,72.44,1.99,1.4,24.53,2024-02-17
S107914,74.45,3.4,3.62,7.35,2024-01-11
S107915,50.5%,4.08,0.16,13.22,2024-03-04
S107916,99.65,2.5,0.42,16.34,01/04/2024
S107917,87.65,3.89,2.52,19.61,2024-02-11
S107918,76.34,0.0,1.76,1.79,2024-05-03
S107919,71.02,1.09,0.14,2.0,2024-01-22
S107920,85%,1.44,2.61,10.37,2024-03-06
S107921,87.86,5.85,1.58,18.83,2024-04-04
S107922,56.58,1.47,0.64,10.29,2024-01-24
S107923,63.91,1.38,0.56,14.11,29/02/2024
S107924,80.58,3.58,1.55,15.36,06/02/2024
S107925,83.66,2.47,,9.2,03-13-2024
S107926,90%,1.63,0.38,25.25,13/02/2024
S107927,96.31,0.87,0.2,9.43,2024-04-10
S107928,91%,5.74,3.51,0.54,2024-01-17
S107929,73.78,3.81,,8.12,23/05/2024
S107930,66.28,0.19,0.16,9.17,2024-02-20
S107931,79.35,2.71,0.12,16.22,20/04/2024
S107932,94.4%,4.25,2.15,16.58,06/04/2024
S107933,87.5%,4.58,0.95,19.11,02/03/2024
S107934,77.16,2.69,1.45,28.16,2024-04-25
S107935,0.7598,3.6,4.11,15.2,03/04/2024
S107936,58.8,3.27,2.43,20.91,2024-01-28
S107937,66.61,4.31,0.22,11.88,2024-01-26
S107938,82.81,2.19,0.68,17.03,26/01/2024
S107939,84.83,1.39,1.5,12.56,2024-04-28
S107940,89.24,3.57,1.35,13.95,2024-03-07
S107941,73%,1.5,3.36,16.16,2024-05-05
S107942,76.76,3.87,0.23,21.89,2024-02-07
S107943,84.94,1.61,1.73,14.62,27/03/2024
S107944,70.98,1.91,2.05,14.6,27/01/2024
S107945,75.18,3.15,0.44,17.19,13/01/2024
S107946,49.96,0.58,2.21,21.15,02-29-2024
S107947,57.36,3.54,2.05,5.14,2024-02-21
S107948,30.0,4.28,2.55,16.71,18/03/2024
S107949,71.63,5.16,,5.68,2024-03-19
S107950,93.48,3.78,0.41,24.16,2024-03-14
S107951,74%,3.6,1.24,17.37,02/05/2024
S107952,61%,5.69,,23.59,2024-04-09
S107953,65.9,2.71,0.06,3.35,2024-01-15
S107954,0.4774,3.06,0.31,13.82,2024-01-21
S107955,66.4,1.94,2.61,21.09,2024-04-04
S107956,81.02,0.13,1.8,24.83,04-03-2024
S107957,85%,1.33,0.53,17.45,10/02/2024
S107958,87.36,0.37,3.37,12.01,2024-05-20
S107959,53.48,3.06,1.56,13.11,20/04/2024
S107960,71%,1.59,1.21,7.7,22/01/2024
S107961,68.21,0.01,1.94,25.24,2024-03-20
S107962,0.8866,4.37,1.27,19.56,23/04/2024
S107963,86.95,3.8,1.47,13.74,2024-04-04
S107964,81.22,4.47,1.63,18.81,23/02/2024
S107965,75.25,2.77,2.46,14.23,03-22-2024
S107966,63.43,2.56,5.87,12.89,2024-03-18
S107967,78.74,2.3,0.97,9.71,17/03/2024
S107968,56.4%,0.4,,9.83,2024-04-22
S107969,86.75,5.49,1.61,17.66,14/03/2024
S107970,84.63,4.16,3.7,22.33,03-13-2024
S107971,44.94,1.06,1.63,12.65,2024-04-15
S107972,62.94,2.42,0.53,9.45,2024-05-27
S107973,60.9,2.87,0.76,21.67,2024/02/08 10:18:09
S107974,83.04,4.03,1.23,15.55,01-11-2024
S107975,63.99,3.13,4.01,0.0,05-21-2024
S107976,71.65,2.44,4.25,10.06,05-28-2024
S107977,69.29,2.45,0.86,18.28,2024-03-09
S107978,70.52,3.39,0.26,9.47,2024/02/05 06:06:19
S107979,73.31,3.38,2.77,15.36,01-22-2024
S107980,91.9%,1.64,0.71,6.29,2024-02-09
S107981,63.72,2.95,1.42,12.12,03/02/2024
S107982,88.69,6.04,4.11,7.39,11/05/2024
S107983,78%,1.15,0.93,6.38,2024-03-30
S107984,74.24,1.03,2.67,9.69,01/02/2024
S107985,97%,2.44,0.73,21.11,2024-03-17
S107986,70.48,0.73,5.91,17.92,05-25-2024
S107987,72.97,3.45,0.46,29.36,11/04/2024
S107988,72.18,5.82,0.61,10.82,01-27-2024
S107989,61.34,0.0,2.36,22.13,2024-04-20
S107990,0.8644,4.68,0.81,28.01,30/03/2024
S107991,81.41,2.85,2.04,22.83,2024-04-24
S107992,89.17,4.25,0.55,22.95,13/01/2024
S107993,76.89,5.42,3.54,15.85,05/03/2024
S107994,77.52,2.67,0.16,16.62,2024-01-13
S107995,0.8518,1.3,1.16,8.55,2024-03-29
S107996,89%,2.8,0.45,0.0,21/01/2024
S107997,56.06,3.12,2.95,16.43,2024-02-19
S107998,0.6459,3.61,0.02,8.28,2024-04-09
S107999,74.52,5.0,1.55,12.02,2024/04/05 05:00:23
S108000,88.38,3.96,0.78,9.22,28/02/2024
S108001,73.04,4.73,0.59,17.27,2024-03-08
S108002,63.72,5.52,2.16,13.6,03-04-2024
S108003,75.52,2.93,0.23,23.8,2024-01-24
S108004,84.77,1.19,2.21,9.94,02/05/2024
S108005,100.0,3.71,3.74,16.26,02-22-2024
S108006,64.6,2.96,4.08,13.66,2024-02-17
S108007,67.83,4.13,0.29,12.94,2024-01-31
S108008,0.6616,2.97,1.64,14.46,2024-04-12
S108009,89.0,2.99,2.63,25.64,2024/02/28 03:54:05
S108010,61%,2.69,3.31,20.9,2024-01-23
S108011,61.53,3.62,5.23,11.81,2024-03-29
S108012,56%,1.44,2.44,10.72,2024-02-22
S108013,86.63,1.13,0.51,9.52,2024-05-13
S108014,98.43,2.86,0.61,15.81,25/04/2024
S108015,79.39,3.47,0.1,4.39,05-17-2024
S108016,77.91,3.97,2.97,13.49,2024-03-02
S108017,80.18,4.07,4.32,17.67,2024-05-04
S108018,63.03,3.37,0.42,9.92,2024-02-29
S108019,86.8%,1.43,0.38,15.28,2024-02-12
S108020,75.65,1.34,0.31,16.86,2024-02-26
S108021,74.04,3.7,2.79,2.66,14/02/2024
S108022,100.0,2.13,2.17,16.44,04-19-2024
S108023,85.16,3.96,5.64,11.79,2024-05-04
S108024,56%,1.3,2.12,27.93,2024-02-10
S108025,67.51,1.72,0.6,16.39,2024-05-16
S108026,83.0%,5.41,2.14,8.57,01-25-2024
S108027,84.2,2.7,0.63,2.28,05/04/2024
S108028,72.85,3.76,3.23,14.65,24/02/2024
S108029,75.33,2.45,1.74,24.14,13/01/2024
S108030,68.55,2.9,0.74,10.76,02-15-2024
S108031,58%,3.45,0.16,17.2,29/04/2024
S108032,88%,0.93,6.19,20.18,2024-01-27
S108033,47.71,1.3,0.72,19.81,05-25-2024
S108034,93.43,4.51,7.21,14.97,2024-02-28
S108035,74.04,2.6,0.15,10.39,28/04/2024
S108036,67.28,4.53,4.55,13.18,01-11-2024
S108037,100.0,1.13,6.51,7.51,12/05/2024
S108038,97.69,1.88,2.98,8.4,04/05/2024
S108039,66.3%,2.57,1.22,21.93,2024-04-03
S108040,85.14,2.27,5.52,17.35,2024-03-09
S108041,78.3%,1.87,8.0,17.01,2024-04-27
S108042,72.58,1.6,1.36,9.98,2024-01-24
S108043,68.67,3.64,0.04,23.38,06/02/2024
S108044,59.23,2.43,5.96,13.37,2024-05-29
S108045,71.71,4.28,1.94,15.92,05/05/2024
S108046,100.0,3.2,2.81,23.15,23/05/2024
S108047,87.65,5.17,2.63,9.94,2024-02-23
S108048,74.01,0.71,2.43,10.55,18/04/2024
S108049,94.32,3.59,,22.24,19/03/2024
S108050,83.7%,5.91,1.74,20.7,2024-03-19
S108051,85.2%,2.47,0.62,17.41,12/04/2024
S108052,63.05,0.17,1.53,0.0,20/02/2024
S108053,60.4,3.08,2.57,23.95,2024-04-07
S108054,99.55,1.37,0.78,10.73,23/03/2024
S108055,0.5772,1.55,2.07,10.94,09/05/2024
S108056,78.15,2.38,2.45,13.6,2024-02-05
S108057,81.68,3.21,0.61,6.61,03/04/2024
S108058,66.85,2.01,0.69,23.53,2024-04-04
S108059,92.96,3.25,0.73,16.21,2024-04-16
S108060,82.4,3.1,5.05,19.9,2024-02-08
S108061,78.4,2.56,2.77,9.58,23/05/2024
S108062,73.07,4.1,1.16,21.91,2024-05-04
S108063,100.0,0.0,0.12,24.97,2024-02-09
S108064,65.78,2.94,0.46,6.08,2024-05-13
S108065,69.21,5.67,3.25,7.13,29/03/2024
S108066,71.4%,2.09,2.29,9.36,17/05/2024
S108067,82.12,1.26,0.47,21.47,2024-05-05
S108068,64.55,4.54,1.72,16.27,2024-05-03
S108069,63.45,5.55,0.15,14.54,05-16-2024
S108070,54.62,5.12,3.66,17.57,2024-03-19
S108071,67%,3.75,0.17,28.53,2024-05-24
S108072,65.57,3.73,1.26,2.78,04-14-2024
S108073,86%,1.76,0.45,12.83,06/02/2024
S108074,58.02,2.74,2.51,0.0,2024-02-09
S108075,51.34,6.84,1.86,18.55,03-10-2024
S108076,1.0,2.14,0.55,22.61,2024-01-29
S108077,0.8694,1.65,0.6,12.85,2024-03-26
