roll_number,hackathons_participated,preferred_domain,career_goal,submitted_at
S107335,1,Core Engineering,Job,03-05-2024
S107336,3,Product/Management,Job,2023-11-30
S107337,1,AI/ML,Job,03/03/2024
S107338,0,AI/ML,Job,18/12/2023
S107339,1,AI/ML,Job,02-16-2024
S107340,3,AI/ML,Job,2024-01-25
S107341,2,AI/ML,Higher Studies,2023-11-27
S107342,2,Product/Management,Job,2023-11-16
S107343,3,Product/Management,Higher Studies,2024-01-10
S107344,1,Product/Management,Job,2024-02-01
S107345,0,Data Science,Job,27/03/2024
S107346,0,Core Engineering,Job,12/03/2024
S107347,1,AI/ML,Job,2023-12-22
S107348,2,AI/ML,Job,03-25-2024
S107349,2,Core Engineering,Higher Studies,2023-12-19
S107350,1,Web Development,Higher Studies,2023-11-25
S107351,0,Product/Management,Startup/Entrepreneurship,02-15-2024
S107352,2,Core Engineering,Job,23/02/2024
S107353,0,Product/Management,Job,2023-12-15
S107354,0,Data Science,Startup/Entrepreneurship,2023-12-07
S107355,2,Data Science,Higher Studies,2024-01-05
S107356,0,Cybersecurity,Job,2023-12-28
S107357,2,Core Engineering,Job,2023-12-04
S107358,1,Core Engineering,Job,04-07-2024
S107359,1,Product/Management,Job,2024-03-11
S107360,1,Product/Management,Startup/Entrepreneurship,2024-01-14
S107361,0,Core Engineering,Higher Studies,2024-02-07
S107362,1,AI/ML,Job,2023-11-04
S107363,0,Cybersecurity,Higher Studies,2024-01-22
S107364,2,Web Development,Startup/Entrepreneurship,01/01/2024
S107365,2,Core Engineering,Higher Studies,2024-01-27
S107366,1,Cybersecurity,Job,2024-02-09
S107367,2,Core Engineering,Higher Studies,2024/02/22 16:53:51
S107368,0,AI/ML,Job,2023-11-16
S107369,0,Product/Management,Job,2023-11-08
S107370,1,,Higher Studies,2024/01/25 22:29:49
S107371,1,Cybersecurity,Job,2024-01-21
S107372,2,AI/ML,Job,2024-02-06
S107373,2,Web Development,Higher Studies,2024-01-02
S107374,3,Web Development,Job,01/03/2024
S107375,0,Data Science,Job,2023/11/25 00:31:24
S107376,1,AI/ML,Job,2023-11-05
S107377,0,AI/ML,Higher Studies,13/12/2023
S107378,1,Cybersecurity,Job,03-10-2024
S107379,0,Core Engineering,Job,30/03/2024
S107380,1,Cybersecurity,Higher Studies,23/01/2024
S107381,0,AI/ML,Job,06/11/2023
S107382,3,Core Engineering,Job,2024/02/02 23:14:24
S107383,2,Web Development,Job,2024-01-09
S107384,0,AI/ML,Job,29/01/2024
S107385,0,Core Engineering,Job,2023-11-29
S107386,0,Data Science,Higher Studies,2024-03-03
S107387,2,Product/Management,Higher Studies,2024-03-29
S107388,1,Web Development,Higher Studies,2023-12-11
S107389,1,Cybersecurity,Job,2023-12-17
S107390,2,Data Science,Job,09/12/2023
S107391,0,Product/Management,Job,2023-11-25
S107392,1,AI/ML,,2023-11-03
S107393,1,AI/ML,Startup/Entrepreneurship,21/02/2024
S107394,0,Product/Management,Job,2023-12-06
S107395,1,Web Development,Startup/Entrepreneurship,01-19-2024
S107396,3,Cybersecurity,Job,01-29-2024
S107397,1,AI/ML,Job,18/01/2024
S107398,0,Core Engineering,Higher Studies,12/01/2024
S107399,4,AI/ML,Job,15/01/2024
S107400,4,AI/ML,Higher Studies,2023-11-28
S107401,0,Web Development,Job,2024-01-04
S107402,0,Cybersecurity,Job,17/01/2024
S107403,0,Product/Management,Higher Studies,03-12-2024
S107404,4,Core Engineering,Higher Studies,2024-01-11
S107405,2,Data Science,Higher Studies,2024-03-26
S107406,2,Core Engineering,Job,01-14-2024
S107407,0,Web Development,Job,2024-03-14
S107408,3,Data Science,Job,2024-01-10
S107409,1,AI/ML,Higher Studies,18/03/2024
S107410,0,Data Science,Job,2024-04-04
S107411,0,Data Science,Job,2024/02/03 09:29:23
S107412,1,Data Science,Job,20/02/2024
S107413,3,AI/ML,Higher Studies,29/12/2023
S107414,2,AI/ML,Higher Studies,2024-03-28
S107415,2,Cybersecurity,Job,2024-02-28
S107416,0,Product/Management,Job,2023-11-14
S107417,4,AI/ML,Job,2024-03-16
S107418,1,AI/ML,Startup/Entrepreneurship,2023-11-22
S107419,0,Cybersecurity,Startup/Entrepreneurship,01/03/2024
S107420,1,Core Engineering,Job,21/03/2024
S107421,2,Cybersecurity,Job,2024-03-08
S107422,2,Data Science,Higher Studies,28/03/2024
S107423,2,Product/Management,Job,11/12/2023
S107424,0,Cybersecurity,Job,2023-11-04
S107425,1,Core Engineering,Job,2023-12-22
S107426,3,Web Development,Higher Studies,2023-12-15
S107427,2,Web Development,Higher Studies,22/01/2024
S107428,0,Data Science,Job,2023-11-25
S107429,0,Product/Management,Job,2023-12-22
S107430,2,Product/Management,Higher Studies,2024-04-07
S107431,2,Product/Management,Higher Studies,2023-12-14
S107432,0,Product/Management,Job,2024-02-10
S107433,3,Cybersecurity,Job,09/03/2024
S107434,2,Data Science,Job,2024-03-23
S107435,0,Core Engineering,Job,15/03/2024
S107436,3,Cybersecurity,Job,2024-01-08
S107437,2,Core Engineering,Job,30/03/2024
S107438,1,Web Development,Startup/Entrepreneurship,2024-02-16
S107439,1,Core Engineering,Higher Studies,24/01/2024
S107440,0,Data Science,Higher Studies,01-28-2024
S107441,1,Product/Management,Job,2023-12-01
S107442,1,Product/Management,Job,2023/12/03 09:33:04
S107443,2,Product/Management,Higher Studies,2024-02-12
S107444,3,AI/ML,Job,2024-02-24
S107445,2,AI/ML,Higher Studies,2024-04-01
S107446,1,Cybersecurity,Job,29/03/2024
S107447,0,Product/Management,Job,2024-01-30
S107448,1,Product/Management,Higher Studies,2024-03-28
S107449,4,Product/Management,Higher Studies,2023-12-24
S107450,1,Data Science,Higher Studies,01-25-2024
S107451,3,Web Development,Higher Studies,13/02/2024
S107452,1,Cybersecurity,Higher Studies,2024-01-23
S107453,3,AI/ML,Job,2024-04-13
S107454,2,Web Development,Job,2024-03-15
S107455,0,Data Science,Job,2024-01-07
S107456,1,Cybersecurity,Startup/Entrepreneurship,11-01-2023
S107457,0,Product/Management,Job,2023-12-10
S107458,3,Cybersecurity,Startup/Entrepreneurship,2024-03-26
S107459,0,Web Development,Job,2024-04-02
S107460,3,Product/Management,Job,06/03/2024
S107461,2,AI/ML,Higher Studies,2023-12-19
S107462,1,Cybersecurity,Job,12/02/2024
S107463,3,Core Engineering,Job,2024-01-13
S107464,1,AI/ML,Higher Studies,2024-02-14
S107465,4,Product/Management,Higher Studies,2024-04-05
S107466,1,Core Engineering,Higher Studies,12/03/2024
S107467,2,Product/Management,Job,2024-01-19
S107468,0,Cybersecurity,Job,2023-12-19
S107469,2,Core Engineering,Higher Studies,2023-12-18
S107470,0,Core Engineering,Startup/Entrepreneurship,01-24-2024
S107471,3,Data Science,Higher Studies,15/01/2024
S107472,2,Web Development,Job,2023-12-12
S107473,2,Product/Management,Job,01-20-2024
S107474,2,Core Engineering,Job,2024-02-03
S107475,1,Data Science,Job,2023-12-27
S107476,2,Data Science,Higher Studies,2024-03-01
S107477,1,Product/Management,Higher Studies,09/02/2024
S107478,1,AI/ML,Job,11-08-2023
S107479,2,Cybersecurity,Job,2024-01-17
S107480,2,Product/Management,Job,2024-03-05
S107481,1,Web Development,Higher Studies,2024-04-05
S107482,0,Web Development,Higher Studies,14/03/2024
S107483,4,AI/ML,Job,2024-01-24
S107484,1,Data Science,Job,2023-12-22
S107485,0,Web Development,Higher Studies,11-30-2023
S107486,1,Web Development,Job,2023-11-10
S107487,2,Cybersecurity,Job,2024-03-31
S107488,3,Web Development,,01/01/2024
S107489,2,Product/Management,Job,2024-02-29
S107490,0,Web Development,Job,2023-12-04
S107491,1,Web Development,Higher Studies,02/02/2024
S107492,0,Cybersecurity,Higher Studies,09/02/2024
S107493,2,AI/ML,Higher Studies,02/04/2024
S107494,0,Cybersecurity,Higher Studies,2024-01-19
S107495,1,Data Science,Job,06/01/2024
S107496,0,Cybersecurity,Job,2024-03-20
S107497,0,Web Development,Job,2024-03-14
S107498,1,Cybersecurity,Job,2023-11-03
S107499,0,Cybersecurity,Higher Studies,2024-01-21
S107500,3,Data Science,Startup/Entrepreneurship,24/12/2023
S107501,1,Product/Management,Higher Studies,2024-03-17
S107502,1,AI/ML,Job,2024-01-28
S107503,1,Web Development,Job,2024-01-17
S107504,0,Web Development,Job,04/04/2024
S107505,0,Core Engineering,Job,12-07-2023
S107506,0,Core Engineering,Job,2024-02-24
S107507,1,Cybersecurity,Job,2023-12-17
S107508,4,Product/Management,Job,2024-02-22
S107509,2,Core Engineering,Job,2023-11-08
S107510,0,Web Development,Job,2023-12-12
S107511,1,AI/ML,Higher Studies,2023-12-30
S107512,2,Product/Management,Startup/Entrepreneurship,2023-12-09
S107513,1,Data Science,Job,03-20-2024
S107514,1,Data Science,Job,2023-11-22
S107515,1,Cybersecurity,Higher Studies,07/03/2024
S107516,4,Core Engineering,Job,2024-03-01
S107517,1,Web Development,Startup/Entrepreneurship,2024-02-23
S107518,0,Web Development,Job,19/12/2023
S107519,1,Data Science,Job,2023-11-17
S107520,1,Core Engineering,Job,2023/11/17 18:07:15
S107521,1,Web Development,Startup/Entrepreneurship,2024-01-04
S107522,4,Cybersecurity,Higher Studies,03/12/2023
S107523,1,Web Development,Startup/Entrepreneurship,2023-11-25
S107524,1,Web Development,Job,2024-03-01
S107525,1,Data Science,JOB,2024-03-29
S107526,0,Product/Management,Job,2023-12-31
S107527,4,Web Development,Job,2023-12-15
S107528,1,Cybersecurity,Job,2024-03-03
S107529,1,Web Development,JOB,14/03/2024
S107530,0,Product/Management,Job,03-19-2024
S107531,2,AI/ML,Job,2023-11-11
S107532,3,Web Development,Job,18/11/2023
S107533,0,Core Engineering,Startup/Entrepreneurship,01-23-2024
S107534,1,Data Science,Job,02/01/2024
S107535,1,AI/ML,Job,2024-02-24
S107536,1,AI/ML,Job,2023-11-09
S107537,3,Product/Management,Job,22/03/2024
S107538,0,AI/ML,Job,2024-04-09
S107539,0,Web Development,Job,10/11/2023
S107540,1,Cybersecurity,Higher Studies,2024/02/29 22:17:31
S107541,2,Web Development,Higher Studies,2023-11-08
S107542,4,Product/Management,Higher Studies,04-10-2024
S107543,1,Data Science,job,2023-11-23
S107544,2,AI/ML,Higher Studies,30/03/2024
S107545,0,Cybersecurity,Startup/Entrepreneurship,2023-12-16
S107546,0,Web Development,Job,11-23-2023
S107547,3,AI/ML,Startup/Entrepreneurship,09/03/2024
S107548,3,Data Science,Job,2024-01-24
S107549,0,Product/Management,Job,03-05-2024
S107550,2,Product/Management,Higher Studies,2024-01-20
S107551,1,Data Science,Job,15/02/2024
S107552,1,Web Development,Job,2023-12-25
S107553,0,Data Science,Job,03-14-2024
S107554,0,Cybersecurity,Job,2024-03-09
S107555,3,Data Science,Job,2024-02-03
S107556,2,Cybersecurity,,14/11/2023
S107557,0,Cybersecurity,Job,2023-12-05
S107558,1,Web Development,Job,2024-01-31
S107559,2,AI/ML,Job,27/03/2024
S107560,1,Core Engineering,Job,2023-12-12
S107561,0,Core Engineering,Job,11-02-2023
S107562,1,Core Engineering,Job,2023/11/15 17:33:16
S107563,1,Product/Management,Job,2024-02-03
S107564,0,Data Science,Higher Studies,27/03/2024
S107565,2,Product/Management,Job,2023-12-30
S107566,3,Cybersecurity,Higher Studies,29/12/2023
S107567,1,Web Development,Startup/Entrepreneurship,05/11/2023
S107568,2,AI/ML,Higher Studies,2023-12-25
S107569,0,Cybersecurity,Higher Studies,2023-12-08
S107570,1,Cybersecurity,Higher Studies,12-22-2023
S107571,3,Cybersecurity,Higher Studies,02/04/2024
S107572,1,AI/ML,Job,02-27-2024
S107573,3,AI/ML,Job,2024-01-16
S107574,2,Web Development,Startup/Entrepreneurship,2024-03-12
S107575,1,AI/ML,Job,2024-01-21
S107576,0,Cybersecurity,Job,01/12/2023
S107577,2,Web Development,Job,02-25-2024
S107578,1,,Higher Studies,11/12/2023
S107579,1,AI/ML,Job,2024-02-26
S107580,2,Cybersecurity,Startup/Entrepreneurship,2023-12-10
S107581,3,AI/ML,Job,05/04/2024
S107582,2,Cybersecurity,Startup/Entrepreneurship,29/02/2024
S107583,1,Core Engineering,Job,08/03/2024
S107584,0,Product/Management,Higher Studies,2024-02-27
S107585,0,AI/ML,Job,2024-01-07
S107586,3,Cybersecurity,Job,2024-01-08
S107587,1,AI/ML,Higher Studies,2023-11-08
S107588,0,Data Science,Higher Studies,2024/03/12 16:58:28
S107589,2,Core Engineering,Job,2023-12-12
S107590,3,Product/Management,Job,15/01/2024
S107591,1,Product/Management,HIGHER STUDIES,17/03/2024
S107592,0,Cybersecurity,Job,16/11/2023
S107593,1,AI/ML,Higher Studies,2024-04-06
S107594,2,Product/Management,Job,2024-01-02
S107595,1,Product/Management,Higher Studies,2023-11-17
S107596,1,AI/ML,Higher Studies,2024-03-08
S107597,1,AI/ML,Job,2024-03-28
S107598,2,Cybersecurity,Job,02/11/2023
S107599,0,Product/Management,Startup/Entrepreneurship,2024-02-17
S107600,1,Web Development,Job,21/01/2024
S107601,0,AI/ML,Higher Studies,2023-12-10
S107602,2,Core Engineering,Job,2023/11/15 04:25:20
S107603,1,Web Development,Higher Studies,28/02/2024
S107604,3,Data Science,Job,2024-02-09
S107605,1,Product/Management,Higher Studies,2024-02-15
S107606,4,Core Engineering,Startup/Entrepreneurship,2024-04-03
S107607,1,Core Engineering,Startup/Entrepreneurship,2023-12-04
S107608,3,Product/Management,Higher Studies,2024-03-14
S107609,1,,Job,2024-03-02
S107610,2,Core Engineering,Job,2024-03-07
S107611,1,Product/Management,Job,28/12/2023
S107612,1,Cybersecurity,Job,04-14-2024
S107613,0,Cybersecurity,Startup/Entrepreneurship,10/01/2024
S107614,1,Core Engineering,Higher Studies,2024-03-26
S107615,3,Data Science,Higher Studies,2024-01-24
S107616,3,Cybersecurity,Job,2024-03-25
S107617,3,Core Engineering,Higher Studies,2023-12-08
S107618,2,Product/Management,Higher Studies,2023-12-20
S107619,0,Product/Management,Higher Studies,2024-01-30
S107620,0,Web Development,Job,19/01/2024
S107621,0,Product/Management,Higher Studies,2024-01-16
S107622,1,Web Development,Job,2024-01-02
S107623,2,Product/Management,Startup/Entrepreneurship,2024-04-07
S107624,1,Core Engineering,Higher Studies,2024-02-19
S107625,3,AI/ML,Job,24/02/2024
S107626,1,Product/Management,Job,2024-02-19
S107627,3,Data Science,Job,12-14-2023
S107628,0,Cybersecurity,Higher Studies,24/01/2024
S107629,1,Web Development,Startup/Entrepreneurship,02-12-2024
S107630,2,AI/ML,Startup/Entrepreneurship,14/01/2024
S107631,2,Product/Management,Higher Studies,2024-03-25
S107632,0,AI/ML,Higher Studies,01-04-2024
S107633,0,AI/ML,Job,12-06-2023
S107634,0,Cybersecurity,Job,2024-03-07
S107635,1,Product/Management,Job,2024-04-08
S107636,1,Core Engineering,Job,17/03/2024
S107637,0,Web Development,Higher Studies,2023-12-15
S107638,2,Web Development,Job,2024-01-26
S107639,0,Product/Management,Job,2023-11-27
S107640,2,Core Engineering,Job,2023-11-25
S107641,0,Data Science,Job,02-01-2024
S107642,1,,Job,2024-01-23
S107643,1,Web Development,Job,28/01/2024
S107644,3,Core Engineering,Job,05/01/2024
S107645,1,Data Science,Job,2023-12-13
S107646,4,Web Development,Higher Studies,2023-11-21
S107647,0,Core Engineering,HIGHER STUDIES,2024-01-26
S107648,1,Cybersecurity,Higher Studies,25/02/2024
S107649,0,Product/Management,Higher Studies,2024-01-02
S107650,1,Cybersecurity,job,2023-12-08
S107651,1,AI/ML,Job,19/01/2024
S107652,0,Core Engineering,Job,26/02/2024
S107653,1,Web Development,Job,27/12/2023
S107654,1,AI/ML,Job,2024-03-27
S107655,0,Cybersecurity,Job,2023-12-08
S107656,3,Data Science,Higher Studies,16/11/2023
S107657,3,Product/Management,Job,2024-01-03
S107658,1,Data Science,Job,2023-12-14
S107659,0,Data Science,Startup/Entrepreneurship,29/02/2024
S107660,0,Web Development,Job,2024-01-03
S107661,2,Product/Management,Higher Studies,2023-11-13
S107662,2,Web Development,Higher Studies,25/03/2024
S107663,1,Cybersecurity,Higher Studies,2023-12-13
S107664,0,AI/ML,Job,2023-12-01
S107665,1,AI/ML,Higher Studies,2023-12-30
S107666,3,Cybersecurity,Job,2023-11-08
S107667,1,Core Engineering,JOB,2024-03-30
S107668,1,Cybersecurity,Higher Studies,2024-04-10
S107669,1,Core Engineering,Job,2023-11-21
S107670,0,Product/Management,Higher Studies,2024-02-12
S107671,0,Web Development,Job,12/01/2024
S107672,1,Core Engineering,Higher Studies,2024-03-02
S107673,3,Cybersecurity,Job,2024-01-22
S107674,3,Cybersecurity,Job,2024-02-13
S107675,1,Core Engineering,Job,2024-03-31
S107676,2,Cybersecurity,Job,29/03/2024
S107677,0,Data Science,Job,2024-03-12
S107678,0,AI/ML,Job,2023-11-12
S107679,1,Product/Management,Job,2024-01-21
S107680,2,Cybersecurity,Job,20/11/2023
S107681,1,Data Science,Job,2024-02-13
S107682,1,Cybersecurity,Higher Studies,2024-02-20
S107683,0,Core Engineering,Job,25/11/2023
S107684,0,Web Development,Higher Studies,08/03/2024
S107685,1,Web Development,Job,2024-03-28
S107686,1,Web Development,higher studies,2023-12-03
S107687,2,Cybersecurity,Higher Studies,01-24-2024
S107688,1,Cybersecurity,Job,11-23-2023
S107689,1,Cybersecurity,Higher Studies,02-13-2024
S107690,1,AI/ML,Higher Studies,2023-12-16
S107691,0,Product/Management,Job,2023-12-13
S107692,1,Product/Management,Higher Studies,2024-03-24
S107693,4,Product/Management,Job,2024-03-06
S107694,0,Product/Management,Job,2023-12-26
S107695,1,Data Science,Job,2023-12-21
S107696,3,Web Development,Higher Studies,2023-12-09
S107697,1,AI/ML,Job,2024-02-20
S107698,2,Web Development,Job,2024-02-11
S107699,1,Product/Management,Job,27/02/2024
S107700,2,Core Engineering,Higher Studies,26/02/2024
S107701,1,Core Engineering,Higher Studies,2023-11-26
S107702,2,Web Development,Job,2024-03-14
S107703,0,Cybersecurity,Job,11-09-2023
S107704,1,Web Development,Job,2024-01-27
S107705,4,Product/Management,Job,15/01/2024
S107706,1,Web Development,Higher Studies,03-26-2024
S107707,0,Cybersecurity,Job,2023-12-23
S107708,2,Product/Management,Startup/Entrepreneurship,16/01/2024
S107709,0,Core Engineering,Job,2023-11-22
S107710,1,Core Engineering,Higher Studies,03/03/2024
S107711,1,Core Engineering,JOB,2023-12-08
S107712,0,Core Engineering,Job,2023/11/07 09:15:32
S107713,1,Data Science,Job,2024-01-04
S107714,1,AI/ML,Startup/Entrepreneurship,2024-01-27
S107715,0,Product/Management,Higher Studies,03/12/2023
S107716,0,Core Engineering,Job,2024-03-30
S107717,1,Web Development,Startup/Entrepreneurship,2024-01-12
S107718,1,Product/Management,Job,12-24-2023
S107719,0,Cybersecurity,Higher Studies,12/11/2023
S107720,1,Web Development,Job,2024-03-16
S107721,0,Web Development,Job,13/12/2023
S107722,2,Web Development,Job,2023-11-17
S107723,2,Product/Management,Job,2023-12-28
S107724,0,Core Engineering,JOB,04-06-2024
S107725,2,Core Engineering,Higher Studies,2023-11-09
S107726,3,Product/Management,Higher Studies,29/01/2024
S107727,2,Web Development,Job,2024-03-13
S107728,1,Web Development,Job,2023-11-22
S107729,0,Core Engineering,Job,2024-02-18
S107730,1,AI/ML,Higher Studies,2023-11-22
S107731,2,AI/ML,Startup/Entrepreneurship,2024-02-25
S107732,0,Web Development,Higher Studies,2024-01-13
S107733,1,Cybersecurity,Job,2024-02-25
S107734,1,AI/ML,Higher Studies,24/02/2024
S107735,2,AI/ML,Job,02/03/2024
S107736,2,Web Development,Job,07/04/2024
S107737,0,Data Science,Job,2023-12-02
S107738,1,AI/ML,Job,2024/04/14 14:24:40
S107739,3,Data Science,Job,2023-12-17
S107740,1,AI/ML,Job,2023-12-22
S107741,3,Product/Management,Job,21/02/2024
S107742,2,Cybersecurity,Higher Studies,2023-12-20
S107743,2,Product/Management,Job,2024-03-06
S107744,3,Product/Management,Job,2024-01-10
S107745,1,Web Development,Startup/Entrepreneurship,11-14-2023
S107746,1,Core Engineering,Higher Studies,25/01/2024
S107747,0,Core Engineering,Job,2023-12-23
S107748,1,Cybersecurity,Job,13/04/2024
S107749,2,Web Development,Higher Studies,09/12/2023
S107750,0,Cybersecurity,Job,2024-04-11
S107751,0,Core Engineering,Higher Studies,01/03/2024
S107752,4,,Job,08/02/2024
S107753,2,Cybersecurity,Higher Studies,2024-01-30
S107754,3,AI/ML,Job,01-26-2024
S107755,1,Web Development,Job,2024-03-19
S107756,1,AI/ML,Higher Studies,2024-03-06
S107757,2,Web Development,Higher Studies,2024/02/29 01:37:38
S107758,1,Web Development,Job,17/01/2024
S107759,1,Data Science,Job,28/12/2023
S107760,2,Core Engineering,Higher Studies,06/03/2024
S107761,2,Web Development,Job,2023-12-07
S107762,1,Cybersecurity,Job,2023-11-21
S107763,0,Cybersecurity,Job,11-05-2023
S107764,0,Cybersecurity,Higher Studies,03-21-2024
S107765,1,Product/Management,Higher Studies,29/12/2023
S107766,2,Web Development,Job,2023-12-10
S107767,1,Cybersecurity,Job,01/02/2024
S107768,0,Web Development,Job,2024-03-12
S107769,1,AI/ML,Startup/Entrepreneurship,01/12/2023
S107770,0,AI/ML,Job,01/12/2023
S107771,0,AI/ML,Job,01/12/2023
S107772,2,Web Development,,2024-03-19
S107773,2,Cybersecurity,Higher Studies,2024-03-19
S107774,2,Core Engineering,Job,03-02-2024
S107775,0,AI/ML,Job,2024-03-25
S107776,0,AI/ML,Job,01-12-2024
S107777,3,Core Engineering,Job,2023-11-13
S107778,1,Web Development,Job,2024-03-23
S107779,0,Core Engineering,Job,2023-11-27
S107780,2,Product/Management,Job,2023-11-17
S107781,0,Core Engineering,Job,11-28-2023
S107782,4,Product/Management,Job,01-24-2024
S107783,0,Core Engineering,Job,2023-11-04
S107784,1,Product/Management,Higher Studies,2024-04-08
S107785,0,Web Development,Job,11-10-2023
S107786,3,Core Engineering,Job,26/11/2023
S107787,0,AI/ML,Higher Studies,05/03/2024
S107788,0,,Startup/Entrepreneurship,2024-03-31
S107789,2,Data Science,JOB,2023-12-22
S107790,1,Data Science,Higher Studies,2023-12-06
S107791,1,AI/ML,Job,2023-11-10
S107792,3,Cybersecurity,higher studies,2023-11-20
S107793,0,Cybersecurity,Job,03-17-2024
S107794,0,AI/ML,Higher Studies,10/01/2024
S107795,0,AI/ML,Higher Studies,31/03/2024
S107796,0,Cybersecurity,Higher Studies,27/03/2024
S107797,1,Core Engineering,Job,2024-01-16
S107798,0,AI/ML,Job,2023-12-29
S107799,1,Cybersecurity,Higher Studies,2024-03-28
S107800,4,Web Development,Higher Studies,2024/02/03 00:38:31
S107801,0,Web Development,Job,01-13-2024
S107802,3,Core Engineering,Job,26/03/2024
S107803,1,Web Development,Higher Studies,2024/03/14 21:42:38
S107804,1,Product/Management,Job,2024-01-24
S107805,3,Web Development,Startup/Entrepreneurship,2024-04-04
S107806,0,Core Engineering,Job,01-26-2024
S107807,0,Cybersecurity,Job,04-10-2024
S107808,1,Core Engineering,Job,05/02/2024
S107809,1,AI/ML,Job,2024-03-07
S107810,1,AI/ML,Job,2024-04-10
S107811,0,Data Science,Higher Studies,03-06-2024
S107812,0,Product/Management,Job,2024-02-22
S107813,1,Product/Management,Job,02-04-2024
S107814,1,Cybersecurity,Higher Studies,2024-02-03
S107815,0,Core Engineering,Startup/Entrepreneurship,2024-04-03
S107816,0,Web Development,Startup/Entrepreneurship,2024-04-04
S107817,3,Product/Management,Job,2023-11-11
S107818,0,Core Engineering,Higher Studies,2023-12-30
S107819,1,Product/Management,Job,2024-02-20
S107820,0,AI/ML,Higher Studies,2023-11-27
S107821,1,Data Science,Job,2023-12-13
S107822,2,Core Engineering,job,08/12/2023
S107823,1,Web Development,Job,2023-12-16
S107824,2,Product/Management,Job,11/12/2023
S107825,2,Product/Management,job,2024-01-17
S107826,0,AI/ML,Higher Studies,2023-11-13
S107827,2,Web Development,Job,2023-12-08
S107828,0,Core Engineering,Higher Studies,2024/02/15 01:56:16
S107829,0,Web Development,Job,2024-03-28
S107830,1,Core Engineering,Job,11-15-2023
S107831,1,Product/Management,Job,2023-11-07
S107832,0,Cybersecurity,Job,2024-03-13
S107833,2,Web Development,Job,25/12/2023
S107834,2,AI/ML,Higher Studies,2024-01-15
S107835,0,Product/Management,Job,2024-02-13
S107836,0,AI/ML,Job,2024-03-16
S107837,3,Product/Management,Higher Studies,2024-04-04
S107838,2,Product/Management,Job,2024-01-01
S107839,0,Core Engineering,Job,2024-02-12
S107840,2,Product/Management,Higher Studies,04-07-2024
S107841,0,AI/ML,Higher Studies,2024-01-10
S107842,1,Data Science,Higher Studies,2023-12-18
S107843,3,AI/ML,Higher Studies,2023/12/23 05:27:31
S107844,0,Web Development,Startup/Entrepreneurship,2024-03-20
S107845,1,Cybersecurity,Job,2023-11-04
S107846,0,Core Engineering,Job,2023-11-12
S107847,0,Product/Management,Higher Studies,2023-12-10
S107848,1,Data Science,Job,2024/01/13 06:42:07
S107849,1,Data Science,Startup/Entrepreneurship,2024-02-19
S107850,0,Data Science,Job,18/11/2023
S107851,1,Data Science,Job,2023-11-19
S107852,0,Data Science,Job,04/11/2023
S107853,0,Product/Management,Startup/Entrepreneurship,2024-03-19
S107854,0,Cybersecurity,Job,03-24-2024
S107855,2,Data Science,Job,20/11/2023
S107856,1,Data Science,higher studies,2023-11-11
S107857,0,Cybersecurity,Job,2024-01-11
S107858,2,AI/ML,Job,2024-03-21
S107859,0,Web Development,Higher Studies,2024-02-09
S107860,2,Core Engineering,Higher Studies,2023-12-13
S107861,0,Cybersecurity,Job,2024/01/26 22:14:09
S107862,1,Product/Management,Job,23/11/2023
S107863,1,Core Engineering,Startup/Entrepreneurship,2023-12-30
S107864,3,Web Development,Job,2024-04-04
S107865,1,Product/Management,Higher Studies,2023-12-03
S107866,3,Data Science,Higher Studies,2024-03-16
S107867,1,Cybersecurity,Job,2024/01/20 00:55:20
S107868,2,Data Science,Job,2024/02/06 14:30:17
S107869,1,Cybersecurity,Job,08/12/2023
S107870,1,,Job,11-20-2023
S107871,0,Data Science,Job,11/03/2024
S107872,2,Cybersecurity,,09/02/2024
S107873,1,AI/ML,Job,2024-01-06
S107874,2,Web Development,Job,28/12/2023
S107875,1,Product/Management,Higher Studies,25/12/2023
S107876,0,AI/ML,Higher Studies,01/02/2024
S107877,0,Web Development,Job,2023-11-23
S107878,1,Core Engineering,Higher Studies,03-29-2024
S107879,3,AI/ML,Job,2024-03-16
S107880,1,Cybersecurity,Higher Studies,2023-12-08
S107881,1,Cybersecurity,Job,2023-12-29
S107882,1,Core Engineering,Job,27/11/2023
S107883,2,Data Science,Startup/Entrepreneurship,2023/11/18 11:43:12
S107884,0,Core Engineering,Higher Studies,2024-02-27
S107885,1,AI/ML,Higher Studies,2024-01-04
S107886,0,Product/Management,Higher Studies,2023-11-09
S107887,3,Cybersecurity,Job,2024-02-20
S107888,2,Web Development,Higher Studies,21/03/2024
S107889,1,Data Science,Higher Studies,2024-02-11
S107890,1,Core Engineering,Job,16/11/2023
S107891,0,Product/Management,Job,2023-12-04
S107892,0,AI/ML,Job,2024-02-23
S107893,1,Product/Management,Startup/Entrepreneurship,2024-03-20
S107894,2,Data Science,Startup/Entrepreneurship,2024-04-07
S107895,1,Web Development,,31/03/2024
S107896,0,Web Development,Higher Studies,01-08-2024
S107897,1,AI/ML,Job,23/01/2024
S107898,2,Product/Management,Higher Studies,07/11/2023
S107899,0,Core Engineering,Job,03/11/2023
S107900,0,Core Engineering,Higher Studies,02-19-2024
S107901,1,Core Engineering,Job,2023-11-23
S107902,1,Core Engineering,Higher Studies,2023-12-09
S107903,0,Cybersecurity,Higher Studies,2024-04-12
S107904,2,Web Development,Higher Studies,2023-12-08
